timing/testing of partition functions
               Data Set                             Times
Algorithm        Size     Ascending Order       Random Order  Descending Order
invariant 1a   100000          0.2 OK!            0.3 OK!           0.1 OK! 
invariant 1b   100000          0.3 OK!            0.3 OK!           0.1 OK! 
invariant 5    100000          0.1 OK!            0.5 OK!           0.3 OK! 
invariant 7    100000          0.1 OK!            0.5 OK!           0.3 OK! 

invariant 1a   200000          0.2 OK!            1.3 OK!           0.3 OK! 
invariant 1b   200000          0.6 OK!            1.1 OK!           0.2 OK! 
invariant 5    200000          0.3 OK!            0.7 OK!           0.6 OK! 
invariant 7    200000          0.2 OK!            0.8 OK!           0.6 OK! 

invariant 1a   400000          0.5 OK!            0.6 OK!           0.4 OK! 
invariant 1b   400000          1.2 OK!            1.3 OK!           0.4 OK! 
invariant 5    400000          0.5 OK!            2.1 OK!           1.3 OK! 
invariant 7    400000          0.5 OK!            2.5 OK!           1.2 OK! 

invariant 1a   800000          1.0 OK!            2.4 OK!           0.9 OK! 
invariant 1b   800000          2.3 OK!            2.3 OK!           0.8 OK! 
invariant 5    800000          1.1 OK!            2.3 OK!           2.6 OK! 
invariant 7    800000          1.1 OK!            2.3 OK!           2.4 OK! 

invariant 1a  1600000          1.8 OK!           10.8 OK!           1.8 OK! 
invariant 1b  1600000          4.7 OK!            8.9 OK!           1.7 OK! 
invariant 5   1600000          2.2 OK!            6.1 OK!           5.0 OK! 
invariant 7   1600000          2.2 OK!            6.5 OK!           4.9 OK! 
